ID,NAME,county,ghost,rep_voters,dem_voters,lib_voters,green_voters,una_voters,other_voters,active_qualified_total,schuh,pittman,write_in,total_votes,perc_schuh,perc_pittman,perc_write_in,winner,perc_winner,area,zipcode,area_mi
6941,ANNE ARUNDEL PRECINCT 02-012,Anne Arundel County,0,567,639,12,3,370,8,1599,250,155,1,406,61.57635467980296,38.17733990147783,0.24630541871921183,schuh,61.57635467980296,1497747.1852956286,"21060, 21061",0.5782834211940417
6942,ANNE ARUNDEL PRECINCT 02-013,Anne Arundel County,0,564,580,5,5,327,5,1486,303,297,0,600,50.5,49.5,0,schuh,50.5,1983434.6111151353,21108,0.7658083846800482
6943,ANNE ARUNDEL PRECINCT 02-014,Anne Arundel County,0,453,1980,10,14,537,18,3012,221,612,1,834,26.498800959232614,73.38129496402878,0.1199040767386091,pittman,73.38129496402878,1756682.8255829941,"21061, 21108",0.6782590308326549
6944,ANNE ARUNDEL PRECINCT 02-015,Anne Arundel County,0,586,1253,18,6,466,9,2338,289,521,0,810,35.67901234567901,64.32098765432099,0,pittman,64.32098765432099,1228702.350254655,"21061, 21108",0.47440462963993085
6945,ANNE ARUNDEL PRECINCT 02-016,Anne Arundel County,0,549,566,12,3,327,8,1465,263,172,1,436,60.321100917431195,39.44954128440367,0.22935779816513763,schuh,60.321100917431195,2033474.9196855426,21061,0.7851290558332301
6946,ANNE ARUNDEL PRECINCT 02-017,Anne Arundel County,0,487,1556,22,5,522,8,2600,187,478,1,666,28.07807807807808,71.77177177177178,0.15015015015015015,pittman,71.77177177177178,1564151.1757757962,"21061, 21108",0.6039221452542898
6947,ANNE ARUNDEL PRECINCT 02-018,Anne Arundel County,0,421,803,24,1,399,7,1655,271,390,1,662,40.93655589123867,58.91238670694864,0.1510574018126888,pittman,58.91238670694864,857541.0560548604,21108,0.3310984527818518
6949,ANNE ARUNDEL PRECINCT 02-019,Anne Arundel County,0,516,1321,19,7,450,12,2325,235,392,1,628,37.42038216560509,62.42038216560509,0.15923566878980894,pittman,62.42038216560509,2084612.4027726501,"21060, 21061, 21122",0.8048733484356081
6950,ANNE ARUNDEL PRECINCT 02-020,Anne Arundel County,0,718,883,19,5,445,2,2072,397,414,1,812,48.891625615763544,50.98522167487685,0.12315270935960591,pittman,50.98522167487685,2673950.808415711,"21060, 21061, 21108, 21122",1.0324181789665647
6948,ANNE ARUNDEL PRECINCT 02-021,Anne Arundel County,0,1292,1032,28,6,673,9,3040,755,480,2,1237,61.03476151980598,38.80355699272433,0.16168148746968472,schuh,61.03476151980598,7300501.070649177,"21061, 21108, 21144",2.8187392218216525
